Date,Close,High,Low,Open,Volume,BTC-INR
2022-06-05,2323581.75,2339950.0,2297739.5,2317991.75,1341323743931,BTC-INR
2022-06-06,2441305.0,2464570.25,2322612.5,2323863.25,2486181750073,BTC-INR
2022-06-07,2419871.0,2445813.25,2279878.75,2441388.25,3166714170413,BTC-INR
2022-06-08,2348439.75,2427499.25,2326545.25,2419560.25,2350592864806,BTC-INR
2022-06-09,2343284.0,2379695.5,2336449.0,2348511.25,1688049052358,BTC-INR
2022-06-10,2273707.75,2353019.5,2262057.25,2343154.25,2334973606430,BTC-INR
2022-06-11,2217157.5,2298577.25,2207416.75,2273775.25,2130050000575,BTC-INR
2022-06-12,2092246.125,2228248.75,2092246.125,2218150.5,2670806802614,BTC-INR
2022-06-13,1757633.25,2100774.25,1730575.25,2090286.125,5330925900606,BTC-INR
2022-06-14,1731813.375,1796421.625,1636442.125,1757680.125,3970533401380,BTC-INR
2022-06-15,1758433.25,1763873.25,1573943.625,1731028.625,4277667311274,BTC-INR
2022-06-16,1589319.25,1784358.875,1580236.75,1758703.25,2431662307226,BTC-INR
2022-06-17,1595989.5,1658360.25,1585028.5,1589636.375,2115286993091,BTC-INR
2022-06-18,1482645.875,1616615.0,1380592.625,1596141.0,3275122904919,BTC-INR
2022-06-19,1602367.0,1612500.0,1408544.125,1482120.375,2754380550785,BTC-INR
2022-06-20,1605409.5,1630236.375,1535637.125,1602374.625,2401813364469,BTC-INR
2022-06-21,1618225.625,1688587.25,1592017.625,1605000.875,2263591918293,BTC-INR
2022-06-22,1562851.75,1629527.625,1551759.625,1618914.5,2234357398851,BTC-INR
2022-06-23,1647705.25,1651603.375,1559965.375,1562818.75,2046406002136,BTC-INR
2022-06-24,1661430.125,1680309.5,1627326.0,1647609.25,1953009064312,BTC-INR
2022-06-25,1682611.75,1684065.375,1640531.25,1661583.0,1437697085822,BTC-INR
2022-06-26,1645439.25,1704630.875,1644581.5,1682154.5,1410671862338,BTC-INR
2022-06-27,1626516.75,1682056.5,1618166.75,1645513.0,1644575336447,BTC-INR
2022-06-28,1603659.75,1667269.875,1599694.375,1626208.25,1690711730077,BTC-INR
2022-06-29,1586177.25,1608972.0,1575015.625,1603702.0,1858275882763,BTC-INR
2022-06-30,1562266.25,1589107.375,1478997.625,1586515.625,2074146554067,BTC-INR
2022-07-01,1521333.875,1629229.0,1505767.625,1565088.75,2429125854764,BTC-INR
2022-07-02,1519193.375,1529416.875,1502205.25,1521765.625,1429044349897,BTC-INR
2022-07-03,1523522.625,1544142.875,1497457.875,1519180.75,1294071062376,BTC-INR
2022-07-04,1597050.625,1599220.375,1505553.625,1523541.375,1704675276705,BTC-INR
2022-07-05,1602460.125,1633213.75,1535718.125,1596584.25,2120374227078,BTC-INR
2022-07-06,1624175.75,1627904.5,1569775.375,1602817.625,1944351233721,BTC-INR
2022-07-07,1714169.75,1724671.0,1603503.625,1624141.625,2045109906568,BTC-INR
2022-07-08,1723964.25,1766855.5,1687885.375,1714135.5,3958633709686,BTC-INR
2022-07-09,1712836.25,1735439.125,1701234.75,1722830.75,2351329893145,BTC-INR
2022-07-10,1654893.875,1712747.0,1644212.25,1712747.0,2275930358221,BTC-INR
2022-07-11,1587220.875,1654568.875,1583563.625,1654568.875,1919414723642,BTC-INR
2022-07-12,1535798.0,1595909.375,1534577.5,1587214.375,2051307061076,BTC-INR
2022-07-13,1613076.25,1613946.25,1516415.75,1535961.5,2637035709301,BTC-INR
2022-07-14,1643093.375,1660312.75,1578656.5,1613027.75,2488912121419,BTC-INR
2022-07-15,1661086.75,1685552.0,1629822.25,1643351.875,2065210601493,BTC-INR
2022-07-16,1690680.0,1716537.5,1635781.0,1660909.375,1939023438050,BTC-INR
